-;7;22;31;43;45;51;54;63;80;94;110;114;117;121;125;149;155;178;200;231;232;265;7193;7194;7198;7199;7206;7207;7208;7221;7227;7229;7242;7252;7259;7260;7448;12253;16689;22590;23310;23521;23526;23547;23552;23562;23671;23696;23703;23775;24013;24021;24594;26333;26338;26418;26656;33749;34208;34422;34428;34505;34643;36032;36392;36693;37063;38116;38796;38848;43842;44850;45771;47158;47211;47218;47221;47225;47232;47811;47830;47832;47836;47837;47839;47841;47842;47844;47845;47849;47850;47852;47856;47860;47861;47867;47875;47910;47932;47959;47983;48114;48690;50121;50482;53899;53900;53901;53902;53903;53904;53905;53906;53907;53908;53909;53910;53911;53912;53913;53914;53915;53916;53917;53918;53919;53920;53921;53922;53923;53924;53925;53926;53927;53929;53930;53931;53932;54008;65700;65703;data;laikas;balsid;topic
1;5555;5555;1111;1111;1111;1111;1111;1111;5555;1111;1111;1111;5555;5555;1111;1111;1111;1111;2222;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;5555;1111;1111;5555;1111;5555;5555;5555;1111;1111;1111;5555;1111;1111;1111;1111;1111;5555;1111;1111;1111;1111;1111;1111;5555;5555;1111;1111;1111;1111;1111;1111;1111;1111;5555;1111;1111;1111;5555;1111;1111;1111;1111;1111;1111;1111;1111;1111;1111;5555;1111;4444;1111;5555;1111;5555;1111;5555;1111;5555;1111;5555;5555;1111;1111;1111;1111;1111;1111;1111;1111;5555;5555;1111;1111;2222;1111;1111;1111;1111;1111;1111;5555;1111;5555;1111;1111;1111;1111;5555;1111;1111;1111;1111;5555;4444;1111;5555;1111;1111;5555;5555;1111;1111;5555;1111;2010-02-11;10:30:11;6319;2
2;1111;5555;2222;2222;2222;1111;1111;5555;5555;1111;5555;1111;1111;5555;2222;5555;2222;3333;1111;3333;2222;1111;3333;5555;3333;2222;2222;3333;2222;2222;2222;2222;3333;1111;5555;5555;4444;1111;5555;2222;1111;1111;5555;5555;2222;1111;2222;1111;2222;1111;2222;2222;5555;1111;1111;2222;1111;2222;2222;1111;5555;4444;1111;2222;2222;1111;1111;1111;1111;5555;1111;1111;2222;4444;2222;1111;1111;2222;1111;2222;3333;1111;1111;2222;5555;2222;1111;1111;1111;2222;1111;1111;5555;2222;1111;5555;5555;5555;1111;1111;1111;1111;2222;1111;2222;2222;5555;5555;1111;5555;5555;1111;2222;1111;1111;1111;2222;1111;2222;5555;2222;2222;3333;3333;5555;1111;1111;1111;5555;5555;1111;1111;5555;1111;3333;5555;5555;1111;1111;5555;1111;2010-02-11;10:40:30;6321;5
3;2222;5555;1111;5555;1111;2222;1111;5555;5555;1111;5555;3333;5555;5555;1111;5555;1111;1111;2222;2222;5555;2222;3333;3333;1111;1111;1111;1111;5555;1111;1111;1111;1111;3333;5555;5555;4444;1111;5555;1111;2222;4444;5555;5555;1111;1111;1111;1111;1111;2222;1111;1111;5555;2222;1111;1111;4444;1111;1111;1111;5555;4444;2222;1111;1111;1111;1111;2222;1111;5555;1111;3333;1111;4444;1111;2222;2222;1111;2222;1111;1111;2222;2222;1111;5555;1111;2222;2222;1111;1111;2222;1111;5555;1111;3333;2222;5555;2222;2222;2222;2222;2222;1111;1111;1111;1111;5555;2222;1111;5555;5555;3333;1111;1111;2222;1111;1111;1111;1111;5555;1111;1111;1111;2222;5555;1111;2222;2222;5555;5555;2222;5555;5555;1111;1111;5555;5555;1111;2222;5555;2222;2010-02-11;10:41:42;6321;6
4;1111;5555;2222;2222;2222;1111;1111;5555;1111;2222;1111;1111;5555;5555;2222;5555;2222;5555;2222;1111;2222;1111;1111;1111;2222;1111;2222;1111;5555;2222;2222;2222;2222;1111;2222;5555;4444;1111;5555;2222;1111;1111;5555;5555;2222;2222;2222;1111;2222;1111;2222;2222;5555;1111;2222;2222;1111;2222;2222;5555;5555;4444;1111;2222;2222;1111;1111;1111;2222;5555;2222;1111;2222;4444;2222;1111;1111;2222;1111;2222;2222;1111;1111;3333;5555;2222;2222;1111;2222;2222;5555;2222;5555;2222;1111;2222;5555;1111;2222;2222;2222;1111;2222;2222;2222;2222;5555;1111;1111;5555;5555;1111;2222;2222;1111;1111;2222;2222;2222;5555;2222;2222;2222;2222;5555;1111;1111;1111;5555;5555;1111;1111;5555;1111;3333;5555;5555;2222;1111;2222;2222;2010-02-11;10:43:05;6322;2
5;5555;5555;1111;1111;1111;5555;1111;2222;2222;1111;1111;1111;1111;5555;1111;5555;1111;1111;1111;2222;2222;1111;2222;2222;1111;1111;1111;1111;5555;1111;5555;1111;1111;2222;1111;5555;5555;1111;5555;1111;2222;2222;5555;5555;1111;1111;1111;1111;1111;1111;1111;1111;5555;2222;1111;1111;1111;1111;1111;1111;5555;4444;2222;1111;1111;1111;1111;2222;1111;5555;1111;2222;1111;4444;1111;1111;1111;5555;2222;1111;1111;5555;1111;1111;5555;1111;1111;5555;2222;1111;5555;1111;5555;1111;2222;1111;5555;1111;1111;1111;1111;2222;1111;1111;1111;1111;5555;1111;1111;5555;5555;1111;1111;1111;1111;1111;1111;1111;1111;5555;1111;1111;1111;1111;5555;1111;1111;2222;5555;5555;1111;5555;5555;1111;1111;5555;5555;1111;1111;1111;1111;2010-02-11;10:44:07;6322;2
6;2222;1111;1111;1111;1111;2222;2222;1111;2222;1111;2222;2222;2222;5555;1111;1111;1111;5555;2222;1111;1111;1111;2222;2222;1111;2222;1111;1111;5555;1111;1111;1111;1111;2222;1111;5555;4444;2222;5555;1111;2222;2222;5555;5555;1111;1111;1111;2222;1111;1111;1111;1111;5555;2222;1111;1111;1111;1111;1111;5555;5555;1111;1111;1111;1111;1111;1111;5555;1111;5555;5555;2222;1111;1111;1111;1111;1111;1111;2222;1111;1111;2222;1111;1111;5555;1111;1111;5555;2222;1111;1111;2222;5555;1111;2222;1111;5555;1111;1111;1111;5555;1111;1111;2222;1111;1111;5555;2222;1111;5555;5555;1111;2222;2222;1111;2222;1111;1111;1111;5555;5555;5555;1111;1111;5555;5555;1111;1111;1111;5555;1111;1111;5555;1111;1111;5555;5555;2222;1111;1111;2222;2010-02-11;10:46:31;6323;5
7;2222;1111;1111;1111;1111;2222;2222;1111;2222;1111;5555;2222;2222;5555;1111;1111;1111;1111;4444;1111;1111;2222;2222;2222;1111;2222;1111;1111;5555;1111;1111;1111;1111;2222;1111;5555;1111;2222;5555;1111;2222;2222;5555;5555;1111;1111;5555;2222;1111;2222;1111;1111;5555;2222;1111;1111;1111;1111;1111;5555;5555;1111;1111;1111;1111;1111;1111;5555;1111;5555;1111;2222;5555;1111;1111;2222;1111;1111;2222;1111;1111;2222;1111;1111;5555;1111;1111;5555;2222;1111;1111;2222;5555;1111;2222;1111;5555;1111;1111;1111;2222;1111;1111;2222;1111;1111;5555;2222;1111;5555;5555;5555;2222;2222;1111;2222;1111;1111;1111;5555;1111;1111;1111;1111;5555;5555;1111;1111;5555;5555;1111;1111;5555;1111;1111;5555;5555;2222;1111;1111;2222;2010-02-11;10:48:10;6324;4
8;5555;1111;1111;1111;1111;1111;3333;1111;1111;1111;5555;2222;2222;5555;2222;1111;2222;1111;4444;5555;1111;1111;3333;1111;2222;2222;5555;3333;5555;1111;1111;1111;1111;1111;1111;5555;5555;3333;5555;1111;1111;1111;5555;5555;2222;1111;1111;3333;1111;5555;1111;1111;5555;1111;2222;5555;1111;1111;1111;5555;5555;2222;1111;1111;1111;1111;2222;5555;1111;5555;5555;1111;4444;4444;1111;5555;2222;1111;1111;1111;2222;1111;1111;1111;5555;2222;2222;5555;2222;2222;5555;2222;5555;1111;1111;2222;5555;2222;2222;1111;5555;2222;1111;2222;1111;1111;5555;5555;2222;5555;3333;3333;2222;2222;3333;3333;2222;2222;2222;5555;1111;1111;1111;5555;5555;5555;2222;2222;5555;5555;2222;2222;5555;5555;1111;5555;5555;3333;2222;1111;2222;2010-02-11;10:50:42;6325;5
9;1111;1111;1111;1111;1111;1111;1111;2222;1111;1111;5555;5555;1111;5555;1111;1111;1111;1111;3333;1111;2222;1111;5555;5555;1111;2222;1111;1111;1111;1111;5555;1111;1111;1111;1111;5555;1111;1111;5555;1111;1111;1111;5555;5555;2222;1111;1111;1111;1111;1111;1111;1111;5555;1111;1111;1111;1111;1111;1111;5555;5555;1111;1111;1111;1111;1111;2222;5555;1111;5555;1111;1111;1111;5555;1111;1111;5555;1111;1111;1111;2222;5555;1111;5555;5555;2222;5555;1111;2222;1111;1111;2222;5555;1111;1111;1111;5555;1111;1111;2222;5555;1111;1111;1111;1111;1111;5555;1111;1111;5555;1111;1111;1111;2222;1111;1111;1111;1111;5555;5555;1111;1111;1111;1111;5555;2222;1111;1111;5555;5555;1111;2222;5555;2222;1111;5555;5555;1111;1111;1111;2222;2010-02-11;11:00:46;6325;2
